,o_Title,o_Author,Title,Author,Query,URLs,Match
10,Micromeritic and packing properties of diclofenac pellets and effects of some formulation variables,"RODRIGUEZ, E.C.; TORRADO, J.J.; NIKOLAKAKIS, I.; TORRADO, S.; S. MALAMATARIS, J.L.L.A.S.T.R.E.S.",Micromeritic and packing properties of diclofenac pellets and effects of some formulation variables,RODRIGUEZ,RODRIGUEZ Micromeritic and packing properties of diclofenac pellets and effects of some formulation variables pdf,['https://www.researchgate.net/publication/11654400_Micromeritic_and_Packing_Properties_of_Diclofenac_Pellets_and_Effects_of_Some_Formulation_Variables'],1
11,Elektronová mikroskopie pro předmět „Instrumentální analytické metody ve farmaceutické technologii“. Studijní materiál a návod pro praktická cvičení,"KOS℡ANSKÁ, K.a J.G.A.J.D.Z.I.O.K.",Elektronová mikroskopie pro předmět „Instrumentální analytické metody ve farmaceutické technologii“. Studijní materiál a návod pro praktická cvičení,KOS℡ANSKÁ,KOS℡ANSKÁ Elektronová mikroskopie pro předmět „Instrumentální analytické metody ve farmaceutické technologii“. Studijní materiál a návod pro praktická cvičení pdf,['https://www.vfu.cz/files/3130_69_kostelanska_studijni-material_prakticke-cviceni_iva.pdf'],1
12,Use of extrusion-spheronization to develop an improved oral dosage form of indomethacin,"DEASY, P.B.a M.F.L.L.A.W.",Use of extrusion-spheronization to develop an improved oral dosage form of indomethacin,DEASY,DEASY Use of extrusion-spheronization to develop an improved oral dosage form of indomethacin pdf,['https://reader.elsevier.com/reader/sd/pii/S0378517396048466?token=CD950795D268F87053AF0797D0CAD0F7961540A1E530091B6E0A580BE1C7B1CCB7ACC2B1271FD15D4A8A456134604986&originRegion=eu-west-1&originCreation=20230317193709'],1
13,Determination of sphericity of pellets prepared by extrusion/spheronization and the impact of some process parameters,"LÖVGREN, K.a P.J.L.U.N.D.B.E.R.G.",Determination of sphericity of pellets prepared by extrusion/spheronization and the impact of some process parameters,LÖVGREN,LÖVGREN Determination of sphericity of pellets prepared by extrusion/spheronization and the impact of some process parameters pdf,[],0
14,"High shear mixer granulators. Drugs and the pharmaceutical sciences,1997,81,151-204","HOLM, P.","High shear mixer granulators. Drugs and the pharmaceutical sciences,1997,81,151-204",HOLM,"HOLM High shear mixer granulators. Drugs and the pharmaceutical sciences,1997,81,151-204 pdf",['https://www.researchgate.net/publication/241068459_Chapter_1_High_shear_granulation'],0
15,MUSELÍK J.;KEJDUŠOVÁ M.;KREJČOVÁ K.;DVOŘÁČKOVÁ K.;Vybrané instrumentální metody ve farmaceutické technologii,,MUSELÍK J.;KEJDUŠOVÁ M.;KREJČOVÁ K.;DVOŘÁČKOVÁ K.;Vybrané instrumentální metody ve farmaceutické technologii,nan,nan MUSELÍK J.;KEJDUŠOVÁ M.;KREJČOVÁ K.;DVOŘÁČKOVÁ K.;Vybrané instrumentální metody ve farmaceutické technologii pdf,[],0
16,KOS℡ANSKÁ K.;GAJDZIOK J.;Elektronová mikroskopie pro předmět „Instrumentální analytické metody ve farmaceutické technologii“. Standardní operační postup pro ovládání elektronového mikroskopu TESCAN Mira3,,KOS℡ANSKÁ K.;GAJDZIOK J.;Elektronová mikroskopie pro předmět „Instrumentální analytické metody ve farmaceutické technologii“. Standardní operační postup pro ovládání elektronového mikroskopu TESCAN Mira3,nan,nan KOS℡ANSKÁ K.;GAJDZIOK J.;Elektronová mikroskopie pro předmět „Instrumentální analytické metody ve farmaceutické technologii“. Standardní operační postup pro ovládání elektronového mikroskopu TESCAN Mira3 pdf,[],1
17,KOS℡ANSKÁ K.;GAJDZIOK J.;Elektronová mikroskopie pro předmět „Instrumentální analytické metody ve farmaceutické technologii“. Studijní materiál a návod pro praktické cvičení,,KOS℡ANSKÁ K.;GAJDZIOK J.;Elektronová mikroskopie pro předmět „Instrumentální analytické metody ve farmaceutické technologii“. Studijní materiál a návod pro praktické cvičení,nan,nan KOS℡ANSKÁ K.;GAJDZIOK J.;Elektronová mikroskopie pro předmět „Instrumentální analytické metody ve farmaceutické technologii“. Studijní materiál a návod pro praktické cvičení pdf,[],0
18,F.;Electron microscope,"C., J.O.Y.D.; J, B.R.I.A.N.",F.;Electron microscope,C,C F.;Electron microscope pdf,[],0
19,FLOWERS M.;KOSSEK S.;Scanning electron microscopy[online].[cit. 2020-03-18,,FLOWERS M.;KOSSEK S.;Scanning electron microscopy].[cit. 2020-03-18,nan,nan FLOWERS M.;KOSSEK S.;Scanning electron microscopy].[cit. 2020-03-18 pdf,[],0
20,FEI Company Tools for nanotech. Allyou wanted to know about electron microscopy but didn ́t dare to ask![online,,FEI Company Tools for nanotech. Allyou wanted to know about electron microscopy but didn ́t dare to ask!,nan,nan FEI Company Tools for nanotech. Allyou wanted to know about electron microscopy but didn ́t dare to ask! pdf,['https://web.pdx.edu/~pmoeck/pdf/all%20you%20wanted%20to%20know%20about%20electron%20microscopy.pdf'],1
21,P.;PRIYANKA;Scanning Electron Microscope: Advantages and Disadvantages in Imaging Components,"CHOUDHARY, O.",P.;PRIYANKA;Scanning Electron Microscope: Advantages and Disadvantages in Imaging Components,CHOUDHARY,CHOUDHARY P.;PRIYANKA;Scanning Electron Microscope: Advantages and Disadvantages in Imaging Components pdf,['https://www.ijcmas.com/6-5-2017/Om%20Prakash%20Choudhary%20and%20Priyanka.pdf'],1
22,H.;THOLLET G.;BASSET D.;GAUTHIER C.;A history of scanning electron microscopy developments: Towards „wet-STEM’’ imaging[online].[cit. 2020-04-12,"A., B.O.G.N.E.R.; P, J.O.U.N.E.A.U.",H.;THOLLET G.;BASSET D.;GAUTHIER C.;A history of scanning electron microscopy developments: Towards „wet-STEM’’ imaging].[cit. 2020-04-12,A,A H.;THOLLET G.;BASSET D.;GAUTHIER C.;A history of scanning electron microscopy developments: Towards „wet-STEM’’ imaging].[cit. 2020-04-12 pdf,['https://reader.elsevier.com/reader/sd/pii/S0968432806001016?token=7DFF3A5B5441961DFA3FC9111544CE7DBA5FF4B2CBEC39181ACB2D969523615D2024767D999AC2738A49CF54E1CBEB91&originRegion=eu-west-1&originCreation=20230317194704'],1
23,THE UNIVERSITY OF IOWA. Scanning electron microscopy.[online].[cit. 2020-04-12,"FACILITY, C.E.N.T.R.A.L.M.I.C.R.O.S.C.O.P.Y.R.E.S.E.A.R.C.H.",THE UNIVERSITY OF IOWA. Scanning electron microscopy.].[cit. 2020-04-12,FACILITY,FACILITY THE UNIVERSITY OF IOWA. Scanning electron microscopy.].[cit. 2020-04-12 pdf,['https://www.researchgate.net/publication/342630209_Teaching_Microscopy_At_Iowa_State_University'],0
24,G.;Cryo-EM structures of the ATP release channel pannexin 1,"Z., D.E.N.G.; Z., H.E.; M.A.K.S.A.E.V.",G.;Cryo-EM structures of the ATP release channel pannexin 1,Z,Z G.;Cryo-EM structures of the ATP release channel pannexin 1 pdf,['https://www.researchgate.net/publication/338413788_Cryo-EM_structures_of_the_ATP_release_channel_pannexin_1'],1
